ID,Name,Address,Address2,City,State,Zip,Geocodable,Latitude,Longitude,Website,Phone,Email
21,All Souls Interfaith Gathering,291 Bostwick Rd,,Shelburne,VT,05482,291 Bostwick Rd Shelburne VT,44.3681489,-73.2409606,http://www.allsoulsinterfaith.org,(802)  985-3819,
22,Alldays & Onions,519 Main St,,Bennington,VT,05201,519 Main St Bennington VT,42.877842,-73.193008,http://www.facebook.com/pages/Alldays-Onions/125886117465906,(802) 447-0043,aorestaurant@aol.com
23,American Flatbread-Lawson Lane Stage,115 Saint Paul St,,Burlington,VT,05401,115 Saint Paul St Burlington VT,44.476553,-73.214154,http://americanflatbread.com/,(802) 861 2199,
24,American Legion Post 5,32 Linden St,,Brattleboro,VT,05301,32 Linden St Brattleboro VT,42.85607,-72.56122,http://www.eventective.com/USA/Vermont/Brattleboro/236335/American-Legion-Post-5.html,,
25,Arkell Pavilion,P.O. Box 617 West Rd,,Manchester,VT,05254,P.O. Box 617 West Rd Manchester VT,43.1874779,-73.070264,http://www.svac.org/arkell_pavilion.html,(802) 362-1405,info@svac.org
26,Arrowhead Golf Course,350 Murray Ave,,Milton,VT,05468,350 Murray Ave Milton VT,44.686025,-73.159325,http://www.thegolfcourses.net/golfcourses/VT/17782.htm,,
27,Arvad's Waitsfield,4740 Main St,,Waitsfield,VT,05676,4740 Main St Waitsfield VT,44.188572,-72.830692,http://www.arvads.com,(802) 244-8973,
28,Ashley's,29 Merchant's Row,,Randolph,VT,05060,29 Merchant's Row Randolph VT,43.922525,-72.663883,,(802) 728-9182,
29,AudionX,60 Spring St,,Swanton,VT,05488,60 Spring St Swanton VT,44.926456,-73.119496,http://www.audionx.com/,(802) 868-1081,
30,B.U. Emporium,163 Porter's Point Rd,,Colchester,VT,05446,163 Porter's Point Rd Colchester VT,44.537824,-73.250247,http://business.vermonttoday.com/B+U+Emporium.393208.87868027.home.html,(802) 658-4292,
31,Back Inn Time,68 Fairfield St,,St. Albans,VT,05478,68 Fairfield St St. Albans VT,44.8088679,-73.0790948,http://www.backinntime.us,(802) 527-5116,
32,Back To Vermont Pub,158 Main St,,Poultney,VT,05764,158 Main St Poultney VT,43.517159,-73.2360379,,,
33,Backstage Pub and Restaurant,60 Pearl St,,Essex Junction,VT,05452,60 Pearl St Essex Junction VT,44.492617,-73.118056,,(802) 878-5494,
34,Backstreet,17 Hudson St,,St. Albans,VT,05478,17 Hudson St St. Albans VT,44.81371,-73.083722,,(802) 527-2400,
35,Bad Girls Cafe,38 Main St,,Johnson,VT,05656,38 Main St Johnson VT,44.635717,-72.679858,,(802) 635.7025,
36,Banana Winds Cafe & Pub,1 Market Pl # 13,,Essex Junction,VT,05452,1 Market Pl # 13 Essex Junction VT,44.506527,-73.132523,,(802) 879-0752,
37,Barnard Inn Restaurant,558 Vt Rte 12,,Barnard,VT,05031,558 Vt Rte 12 Barnard VT,43.6638753,-72.5735378,http://barnardinn.com/,(802) 234-9961,
38,Barnard Town Hall,115 North Rd,P.O. Box 274,Barnard,VT,05031,115 North Rd Barnard VT,43.7301829,-72.618385,http://bavt.org/pages/barnardtownhall.html,(802) 234-9211,
39,Barnhouse Bed & Breakfast,PO Box 326,,Shelburne,VT,05482,PO Box 326 Shelburne VT,44.3806065,-73.227626,http://www.urpampered.com/,(802)  985-3258,vtwellness@yahoo.com
40,Barre Municipal Auditorium,20 Auditorium Hl,,Barre,VT,05641,20 Auditorium Hl Barre VT,44.20327,-72.503549,http://www.barrecity.org/index.asp?Type=B_BASIC&SEC={D20F27D2-E70C-4010-BDFF-1C82D64697FE},(802) 476-0256,
41,Barre Opera House,6 North Main St,,Barre,VT,05641,6 North Main St Barre VT,44.196835,-72.501893,http://www.barreoperahouse.org,(802) 476-8188,carol@barreoperahouse.org
42,Barrows House,3156 Route 30,,Dorset,VT,05251,3156 Route 30 Dorset VT,43.2525602,-73.0960969,http://www.barrowshouse.com/,(802) 867-4455,
43,Barsen House Inn,53 Tri-town Rd,,Vergennes,VT,05491,53 Tri-town Rd Vergennes VT,44.081264,-73.395203,http://www.barsenhouseinn.com/,(802) 759-2646,
44,Basin Harbor Club,4800 Basin Harbor Rd,,Vergennes,VT,05491,4800 Basin Harbor Rd Vergennes VT,44.1970584,-73.3619728,http://www.basinharbor.com/,(802) 475-2311,info@basinharbor.com
45,BCA Center,135 Church St,,Burlington,VT,05401,135 Church St Burlington VT,44.476625,-73.212827,http://www.burlingtoncityarts.org/BCACenter/,(802) 865-7166,clynch@ci.burlington.vt.us
46,Beckwood Pond Vermont Inn,1107 Route 5,,Putney,VT,05346,1107 Route 5 Putney VT,43.0371736,-72.4659831,http://www.inntravels.com/usa/vt/beckwoodpond.html,(802) 254-5900,beckwood@sover.net
47,Bee's Knees,82 Lower Main St,,Morrisville,VT,05661,82 Lower Main St Morrisville VT,44.561758,-72.600084,http://www.thebeesknees-vt.com,(802) 888-7889,sharondeitz@pshift.com
48,Bellows Falls Opera House,7 Square,,Bellows Falls,VT,05101,7 Square Bellows Falls VT,43.1341663,-72.4447372,http://www.bfoperahouse.com,(802) 463-4766,edhoward@rockbf.org
49,Best Western New Englander Motor Inn,220 Northside Dr,,Bennington,VT,05201,220 Northside Dr Bennington VT,42.900063,-73.2112269,http://book.bestwestern.com/bestwestern/US/VT/Bennington-hotels/BEST-WESTERN-PLUS-New-Englander-Motor-Inn/Hotel-Overview.do,(802) 442-6311,
50,Big Picture,48 Carroll Rd,,Waitsfield,VT,05673,48 Carroll Rd Waitsfield VT,44.188415,-72.832872,http://www.bigpicturetheater.info/,(802) 496-8994,
51,Biltmore Grill,115 Saint Paul St,,Burlington,VT,05401,115 Saint Paul St Burlington VT,44.476553,-73.214154,,(802) 863-9222,
52,Birch Ridge Inn,37 Butler Rd,,Killington,VT,05751,37 Butler Rd Killington VT,43.6775677,-72.7798247,http://www.birchridge.com/,(802) 422-4293,
53,Black Diamond Barbeque,"P.O. 2664 Lake Elmore, Vermont 05657",,Lake Elmore,VT,05657,"P.O. 2664 Lake Elmore, Vermont 05657 Lake Elmore VT",44.5393031,-72.5223697,,(802) 888-2275,info@blackdiamondbarbeque.com
54,Black Door Bar and Bistro,44 Main St,,Montpelier,VT,05602,44 Main St Montpelier VT,44.259395,-72.5762815,http://www.blackdoorvt.com,(802)-223-7070,blackdoorvt@aol.com
55,Black River Brew Pub,207 Main St,,Ludlow,VT,05149,207 Main St Ludlow VT,43.396173,-72.70239,http://www.sandcreekbrewing.com/,(802) 228-3100,
56,Blue Tooth,1840 Sugarbush Access Rd,,Warren,VT,05674,1840 Sugarbush Access Rd Warren VT,44.145608,-72.879305,http://www.sugarbush.com/,(802) 583-6300,
57,Blueberry Hill Inn,1307 Goshen Ripton Rd,,Goshen,VT,05733,1307 Goshen Ripton Rd Goshen VT,43.890594,-73.009178,http://www.blueberryhillinn.com,(802) 247-6735,
58,Boccelli's On The Canal,46 Canal St,,Bellows Falls,VT,05101,46 Canal St Bellows Falls VT,43.1351852,-72.4455757,http://www.boccellisonthecanal.com/,(802) 460-1190,boccelli@sover.net
59,Bonz Smokehouse & Grill,97 Portland St,,Morrisville,VT,05661,97 Portland St Morrisville VT,44.563156,-72.598831,http://www.myspace.com/bonzsmokehouse,(802) 888-6283,
60,Boulder Beach State Park,2278 Boulder Beach Rd,,Groton,VT,05046,2278 Boulder Beach Rd Groton VT,44.277355,-72.262222,http://www.vtstateparks.com/htm/boulder.htm,,
61,Boys and Girls Club of Brattleboro,17 Flat St,,Brattleboro,VT,05301,17 Flat St Brattleboro VT,42.8516491,-72.55849,http://www.bgcbrattleboro.com/,(802) 254-5990,rcbgc@sover.net
62,Boys and Girls Club of Burlington,62 Oak St,,Burlington,VT,05401,62 Oak St Burlington VT,44.490017,-73.21124,http://www.bandgclub.org,(802) 864-5263,jthompson@bandgclub.org
63,Bradford Town Hall,172 North Main St,PO Box 339,Bradford,VT,05033,172 North Main St Bradford VT,43.9975433,-72.1265972,http://www.bradford-vt.us/page/town_clerk.php,(802) 222-4727,bradclrk@sover.net
64,Branbury State Park,3570 Lake Dunmore Rd,,Salisbury,VT,05733,3570 Lake Dunmore Rd Salisbury VT,43.9056834,-73.0671002,http://www.vtstateparks.com/htm/branbury.htm,(802) 247-5925,
65,Brandon Inn,20 Park St,,Brandon,VT,05733,20 Park St Brandon VT,43.798492,-73.087171,http://www.historicbrandoninn.com/,,
66,Brandon Motor Lodge,2095 Franklin St,,Brandon,VT,05733,2095 Franklin St Brandon VT,43.778912,-73.058853,,(800) 675-7614,
67,Brattleboro Park System,230 Main St,,Brattleboro,VT,05301,230 Main St Brattleboro VT,42.85528,-72.56057,http://www.brattleboro.org/,(802) 254-4541,
68,Brattleboro Senior Center,207 Main St,,Brattleboro,VT,05301,207 Main St Brattleboro VT,42.85463,-72.55852,http://www.brattleboro.org,(802) 257-7570,
69,Breakwater Cafe & Grill,1 King St,,Burlington,VT,05401,1 King St Burlington VT,44.474869,-73.220031,,(802) 658-6276,
70,Brewski,Route 108,,Jeffersonville,VT,05464,Route 108 Jeffersonville VT,44.6152483,-72.8155018,,(802) 644-5432,
71,Bridport Town Hall,82 Crown Point Rd,P.O. Box 27,Bridport,VT,05734,82 Crown Point Rd Bridport VT,43.984423,-73.315267,,(802) 758-2483,bridporttown@gmavt.net
72,Briggs Opera House,2 N. Main St,PO Box 4287,White River Junction,VT,05001,2 N. Main St White River Junction VT,43.648509,-72.318728,http://www.northernstage.org,(802) 296-7000,info@northernstage.org
73,Brighton Town Hall,49 Mill St,PO Box 377,Island Pond,VT,05846,49 Mill St Island Pond VT,44.8145405,-71.8802009,,(802) 723-4405,Brightonclerk@adelphia.net
74,Brittany Motel,Historic Route 7A,,Manchester,VT,05254,Historic Route 7A Manchester VT,43.1685998,-73.0669779,http://brittanymotel.net/,,
75,Bromley Mountain Ski Resort,3984 Vermont Route 11,,Peru,VT,05152,3984 Vermont Route 11 Peru VT,43.2134334,-72.9332932,http://www.bromley.com/,(802) 824-5522,info@bromley.com
76,Brownstone Tavern,132 Library Ave,,Rutland,VT,05701,132 Library Ave Rutland VT,43.6118296,-72.9866405,,(802) 775-8098,
77,Burke Mountain Ski Resort,223 Sherburne Lodge Rd,,East Burke,VT,05832,223 Sherburne Lodge Rd East Burke VT,44.5878859,-71.9161441,http://www.skiburke.com/,(802) 626-7300,
78,Burlington City Arts,149 Church St,,Burlington,VT,05401,149 Church St Burlington VT,44.476303,-73.212821,http://www.burlingtoncityarts.com,(802) 865-7166,
79,Butler's Restaurant,70 Essex Way,,Essex Junction,VT,05452,70 Essex Way Essex Junction VT,44.501583,-73.078732,,(802) 764-1413,
80,Button Bay State Park,5 Button Bay State Park,,Vergennes,VT,05491,5 Button Bay State Park Vergennes VT,44.1829084,-73.3503374,http://www.vtstateparks.com/htm/buttonbay.htm,(802) 475-2377,
81,Cafe Provence,11 Center St,,Brandon,VT,05733,11 Center St Brandon VT,43.7986393,-73.0883268,http://www.cafeprovencevt.com/,(802) 247-9997.,
82,Cafe Shelburne,5573 Shelburne Rd,,Shelburne,VT,05482,5573 Shelburne Rd Shelburne VT,44.3764309,-73.2288279,http://www.cafeshelburne.com/,(802)  985-3939,
83,Cafe Sweet Basil,32 Depot St,,Lyndonville,VT,05851,32 Depot St Lyndonville VT,44.5349239,-72.004578,http://cafesweetbasil.com/,,drobarts@hotmail.com
84,Caffe Lena,47 Phila St,P.O. Box  245,Saratoga Springs,NY,12866,47 Phila St Saratoga Springs NY,43.0805205,-73.7833362,http://www.caffelena.org,(518) 583-0022,sarahcaffelena.org
85,Calais Town Hall,3120 Pekin Brook Rd,,Calais,VT,05650,3120 Pekin Brook Rd Calais VT,44.36867,-72.467992,,(802) 456-8720,
86,Camp Abnaki,1252 Abnaki Rd,,North Hero,VT,05474,1252 Abnaki Rd North Hero VT,44.766335,-73.309875,http://www.campabnaki.org/,(802) 372-8275,
87,Camp Plymouth State Park,2008 Scout Camp Rd,,Ludlow,VT,05149,2008 Scout Camp Rd Ludlow VT,43.475918,-72.695297,,(802) 228-2025,
88,Candeleros Southwest Grill,24 Wales St,,Rutland,VT,05701,24 Wales St Rutland VT,43.6072879,-72.977455,,,
89,Capitol Grounds,45 State St,,Montpelier,VT,05602,45 State St Montpelier VT,44.2605539,-72.5767449,http://www.capitolgrounds.com,(802) 223-7800,bob@capitolgrounds.com
90,Capitol Plaza Hotel & Conference Center,100 State St,,Montpelier,VT,05602,100 State St Montpelier VT,44.260261,-72.57813,http://www.capitolplaza.com/,(802) 223-5252,
91,Carpenter & Main Restaurant,326 Main St,,Norwich,VT,05055,326 Main St Norwich VT,43.715027,-72.308334,http://www.carpenterandmain.com/,,
92,Castleton State College,62 Alumni Dr,,Castleton,VT,05443,62 Alumni Dr Castleton VT,43.609245,-73.1779789,http://www.castleton.edu/,(802) 468-5611,
93,Catering By Dale,336 Martindale Rd,,Shelburne,VT,05482,336 Martindale Rd Shelburne VT,44.417377,-73.207008,http://www.cateringbydale.com,(802) 985-3871,
94,Celebration Fireworks of Vermont,P.O. Box 2007,,Georgia,VT,05468,P.O. Box 2007 Georgia VT,44.7136111,-73.1105556,http://celebrationfireworksvt.com/services.htm,(802) 524-7063,
95,Center Street Alley,Center St,,Rutland,VT,05701,Center St Rutland VT,43.6067023,-72.9773849,http://www.rutlanddowntown.com/2011/02/center-street-alley/,,
96,Centre Congregational Church,193 Main St,,Brattleboro,VT,05301,193 Main St Brattleboro VT,42.8542,-72.55848,http://www.bmcvt.org/,(802) 257-4523,
97,Chaffee Center for the Visual Arts,16 South Main St,,Rutland,VT,05701,16 South Main St Rutland VT,43.607708,-72.971718,http://www.chaffeeartcenter.org/,(802) 775-0356,
98,Chalet Killington,2685 Killington Rd,,Killington,VT,05751,2685 Killington Rd Killington VT,43.635741,-72.790068,http://www.chaletkillington.com/,(802) 422-3451,
99,Champlain Valley Exposition,105 Pearl St,PO Box 209,Essex Junction,VT,05453,105 Pearl St Essex Junction VT,44.497531,-73.120365,http://www.cvfair.com/,(802) 878-5545,info@cvfair.com
100,Chandler Music Hall,71-73 Main St,,Randolph,VT,05060,71-73 Main St Randolph VT,43.918831,-72.668098,http://www.chandler-arts.org/,(802) 728-9878,president@chandler-arts.org
